CASEID,YEAR,COMPWT,SEX,AGE,RACE,RELIG,RELIG16,DENOM16,PARELIG,PARELKID,MARELIG,MARELKID,SPREL,EDUC,SEI,INCOME,RINCOME,INTRHOME,COMPUSE,WEBMOB,EMAILHR,EMAILMIN,USEWWW,WWWHR,WWWMIN
24985,1990,1.06000000000000005e+00,2,31,1, 1, 1,10,0,0,0,0, 0,11,21.6, 6, 6,0,0,0, -1,-1,0, -1,-1
24986,1990,1.06000000000000005e+00,1,65,1, 2, 2, 0,0,0,0,0, 2, 0,48.5,12, 0,0,0,0, -1,-1,0, -1,-1
24987,1990,1.06000000000000005e+00,1,67,1, 1, 1,41,0,0,0,0, 2,13,30.2,11, 2,0,0,0, -1,-1,0, -1,-1
24988,1990,1.06000000000000005e+00,1,45,1, 2, 2, 0,0,0,0,0, 2,15,34.2,13,13,0,0,0, -1,-1,0, -1,-1
24989,1990,1.06000000000000005e+00,1,75,1, 2, 2, 0,0,0,0,0, 2,10,52.4,13, 0,0,0,0, -1,-1,0, -1,-1
24990,1990,1.59000000000000008e+00,2,20,1, 2, 2, 0,0,0,0,0, 0,13,33.1,11, 9,0,0,0, -1,-1,0, -1,-1
24991,1990,1.06000000000000005e+00,2,37,1, 1, 1,31,0,0,0,0, 0,12,38.8,12,12,0,0,0, -1,-1,0, -1,-1
24992,1990,5.30000000000000027e-01,2,78,1, 2, 2, 0,0,0,0,0, 0, 8,38.9, 9, 0,0,0,0, -1,-1,0, -1,-1
24993,1990,1.06000000000000005e+00,1,45,2, 2, 2, 0,0,0,0,0, 0,15,63.5, 7, 0,0,0,0, -1,-1,0, -1,-1
24994,1990,5.30000000000000027e-01,1,38,2, 4, 2, 0,0,0,0,0, 0,18,74.4,12,12,0,0,0, -1,-1,0, -1,-1
24995,1990,2.12999999999999989e+00,1,64,2, 1, 1,13,0,0,0,0, 5,20,78.5,12, 0,0,0,0, -1,-1,0, -1,-1
24996,1990,5.30000000000000027e-01,1,69,1, 2, 1,48,0,0,0,0, 0,16,86.6,12, 0,0,0,0, -1,-1,0, -1,-1
24997,1990,1.06000000000000005e+00,2,45,1, 1, 1,40,0,0,0,0, 1,16,60.6,12, 0,0,0,0, -1,-1,0, -1,-1
24998,1990,1.06000000000000005e+00,1,34,1, 1, 2, 0,0,0,0,0, 1,18,75.2,12,12,0,0,0, -1,-1,0, -1,-1
24999,1990,1.06000000000000005e+00,1,62,1, 2, 2, 0,0,0,0,0, 2,16,61.9,12,12,0,0,0, -1,-1,0, -1,-1
25000,1990,1.06000000000000005e+00,2,47,1, 1, 1,35,0,0,0,0, 1,16,38.4,12, 4,0,0,0, -1,-1,0, -1,-1
25001,1990,1.06000000000000005e+00,2,43,1, 2, 2, 0,0,0,0,0, 2,18,76.5,12,12,0,0,0, -1,-1,0, -1,-1
25002,1990,1.06000000000000005e+00,1,62,1, 4, 1,38,0,0,0,0, 1,20,85.5,12,12,0,0,0, -1,-1,0, -1,-1
25003,1990,1.06000000000000005e+00,1,34,1, 2, 2, 0,0,0,0,0, 1,14,32.0,12,12,0,0,0, -1,-1,0, -1,-1
25004,1990,5.30000000000000027e-01,2,31,1, 2, 2, 0,0,0,0,0, 0,15,32.0,12,12,0,0,0, -1,-1,0, -1,-1
25005,1990,1.06000000000000005e+00,2,60,1, 1, 3, 0,0,0,0,0, 2,12,21.1,12,10,0,0,0, -1,-1,0, -1,-1
25006,1990,1.06000000000000005e+00,1,28,1, 4, 4, 0,0,0,0,0, 4,11,38.2,12,12,0,0,0, -1,-1,0, -1,-1
25007,1990,1.06000000000000005e+00,1,40,1, 1, 1,30,0,0,0,0, 0,16,78.5,12,12,0,0,0, -1,-1,0, -1,-1
25008,1990,1.06000000000000005e+00,1,42,1, 2, 2, 0,0,0,0,0, 4,13,63.5,12,12,0,0,0, -1,-1,0, -1,-1
25009,1990,1.06000000000000005e+00,2,29,3, 2, 2, 0,0,0,0,0, 2,15,32.0,12, 5,0,0,0, -1,-1,0, -1,-1
25010,1990,1.06000000000000005e+00,2,28,1, 4, 2, 0,0,0,0,0, 0,13,37.7,10,10,0,0,0, -1,-1,0, -1,-1
25011,1990,5.30000000000000027e-01,2,73,1, 1, 1,28,0,0,0,0, 0, 8,28.6, 5, 1,0,0,0, -1,-1,0, -1,-1
25012,1990,1.06000000000000005e+00,1,21,3, 2, 2, 0,0,0,0,0, 0,13,31.2,12, 5,0,0,0, -1,-1,0, -1,-1
25013,1990,1.06000000000000005e+00,1,47,1, 2, 2, 0,0,0,0,0, 2,20,62.5,13,13,0,0,0, -1,-1,0, -1,-1
25014,1990,1.06000000000000005e+00,1,33,1, 1, 1,14,0,0,0,0, 1,12,38.2,12,12,0,0,0, -1,-1,0, -1,-1
25015,1990,1.06000000000000005e+00,2,77,1, 2, 2, 0,0,0,0,0, 0,12,-1.0, 6, 0,0,0,0, -1,-1,0, -1,-1
25016,1990,1.06000000000000005e+00,2,73,1, 2, 2, 0,0,0,0,0, 2,12,38.0, 7, 0,0,0,0, -1,-1,0, -1,-1
25017,1990,2.12999999999999989e+00,2,42,1, 2, 2, 0,0,0,0,0, 2,13,65.8,12,13,0,0,0, -1,-1,0, -1,-1
25018,1990,1.06000000000000005e+00,2,35,1, 1, 1,32,0,0,0,0, 2,12,26.4,12, 8,0,0,0, -1,-1,0, -1,-1
25019,1990,1.59000000000000008e+00,1,18,2, 1, 4, 0,0,0,0,0, 0,11,38.7,98, 3,0,0,0, -1,-1,0, -1,-1
25020,1990,1.06000000000000005e+00,1,55,2, 4, 1,18,0,0,0,0, 1,12,30.8,13,13,0,0,0, -1,-1,0, -1,-1
25021,1990,1.06000000000000005e+00,1,65,2, 1, 1,10,0,0,0,0, 1, 6,33.6,10,10,0,0,0, -1,-1,0, -1,-1
25022,1990,5.30000000000000027e-01,1,43,2, 1, 1,18,0,0,0,0, 1,14,97.2,11,11,0,0,0, -1,-1,0, -1,-1
25023,1990,1.06000000000000005e+00,2,73,1, 1, 1,50,0,0,0,0, 4,12,32.4,12, 0,0,0,0, -1,-1,0, -1,-1
25024,1990,1.06000000000000005e+00,1,60,1, 4, 2, 0,0,0,0,0, 1,16,71.2,12,12,0,0,0, -1,-1,0, -1,-1
25025,1990,1.06000000000000005e+00,2,56,1, 2, 2, 0,0,0,0,0, 2,12,48.6,12, 0,0,0,0, -1,-1,0, -1,-1
25026,1990,1.06000000000000005e+00,1,44,1, 4, 2, 0,0,0,0,0, 1,20,82.7,13,13,0,0,0, -1,-1,0, -1,-1
25027,1990,1.06000000000000005e+00,1,52,1, 2, 2, 0,0,0,0,0, 2,13,52.5,13,13,0,0,0, -1,-1,0, -1,-1
25028,1990,1.06000000000000005e+00,2,54,1, 2, 2, 0,0,0,0,0, 2,12,65.8,12,12,0,0,0, -1,-1,0, -1,-1
25029,1990,1.06000000000000005e+00,2,73,1, 4, 2, 0,0,0,0,0, 1,14,28.9, 9, 0,0,0,0, -1,-1,0, -1,-1
25030,1990,1.06000000000000005e+00,1,62,1, 1, 1,50,0,0,0,0, 1, 8,33.6,12,12,0,0,0, -1,-1,0, -1,-1
25031,1990,1.59000000000000008e+00,1,20,1, 1, 1,48,0,0,0,0, 0,13,34.8,12, 2,0,0,0, -1,-1,0, -1,-1
25032,1990,1.06000000000000005e+00,2,46,1, 1, 1,28,0,0,0,0, 1,12,29.3,12, 0,0,0,0, -1,-1,0, -1,-1
25033,1990,1.06000000000000005e+00,1,34,1, 2, 1,41,0,0,0,0, 2,11,37.8,12,10,0,0,0, -1,-1,0, -1,-1
25034,1990,1.06000000000000005e+00,2,29,1, 1, 1,70,0,0,0,0, 1,13,76.3,12,12,0,0,0, -1,-1,0, -1,-1
