CASEID,YEAR,COMPWT,AGE,RACE,SEX,BORN,PARBORN,GRANBORN,CHILDS,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID,SPREL,SPDEN,SPOTHER,SPATTEND,SPFUND,SPREL16,SPDEN16,KDYRBRN1,KDYRBRN2,KDYRBRN3,KDYRBRN4,KDYRBRN5,KDYRBRN6,KDYRBRN7,KDYRBRN8,KDYRBRN9,SWITCH1,SWITCH2,SWITCH3,SWITAGE1,SWITAGE2,SWITWHY1,SWITWHY2
22639,1988,1.06000000000000005e+00,60,1,1,1,0,0,1, 1,48,  0,3, 1,48,  0,3,1,48,  0,4,3,0,    0,1,48,  0,4,3,0,    0, 1,14,  0,2,1,1,14,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22640,1988,1.06000000000000005e+00,34,1,2,1,0,0,1, 1,13,  0,1, 1,13,  0,1,1,13,  0,2,1,0,    0,1,13,  0,2,1,0,    0, 1,14,  0,7,1,1,14,   0,   0,   0,   0,   0,   0,   0,   0,   0,999999,999999,999999,99,99,99,99
22641,1988,1.59000000000000008e+00,50,1,1,1,0,0,2, 1,14,  0,1, 1,14,  0,1,1,14,  0,6,1,0,    0,1,14,  0,6,1,0,    0, 1,14,  0,2,1,1,14,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22642,1988,5.30000000000000027e-01,20,1,1,1,0,0,0, 1,60, 68,1, 1,60, 68,1,1,60, 68,8,1,0,    0,1,60, 68,8,1,0,    0, 1,60, 68,8,1,1,18,   0,   0,   0,   0,   0,   0,   0,   0,   0,999999,999999,999999,99,99,99,99
22643,1988,1.06000000000000005e+00,59,1,1,1,0,2,1, 1,28,  0,3, 1,28,  0,3,0, 0,  0, ,0,0,    0,1,28,  0,7,3,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22644,1988,5.30000000000000027e-01,79,1,2,1,0,0,1, 1,60, 65,1, 4, 0,  0,3,4, 0,  0,0,3,0,    0,4, 0,  0,0,3,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,160065,     0,     0,27,-1,76, 0
22645,1988,5.30000000000000027e-01,87,1,2,1,0,4,2, 1,60, 54,3, 1,60, 54,3,1,60, 54,8,3,0,    0,1,60, 54,8,3,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22646,1988,1.06000000000000005e+00,74,1,2,1,0,4,4, 1,23,  0,1, 1,23,  0,1,0, 0,  0, ,0,0,    0,1,23,  0,7,1,0,    0, 1,23,  0,8,1,1,60,   0,   0,   0,   0,   0,   0,   0,   0,   0,160065,123000,     0,28,99,50,99
22647,1988,1.06000000000000005e+00,69,1,2,1,0,0,3, 1,60, 65,1, 1,60, 20,2,1,60, 20,7,2,0,    0,1,60, 20,7,2,0,    0, 1,60, 65,8,1,1,60,   0,   0,   0,   0,   0,   0,   0,   0,   0,999999,999999,999999,99,99,99,99
22648,1988,1.06000000000000005e+00,78,1,1,1,0,2,0, 1,22,  0,3, 1,22,  0,3,1,22,  0,7,3,0,    0,1,22,  0,7,3,0,    0, 1,22,  0,7,3,1,60,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22649,1988,1.06000000000000005e+00,70,1,1,2,8,4,2, 1,23,  0,1, 1,23,  0,1,1,23,  0,8,1,0,    0,1,23,  0,8,1,0,    0, 1,23,  0,8,1,1,22,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22650,1988,5.30000000000000027e-01,27,1,1,1,1, ,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,0,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,114000,200000,     0,14,99,76,99
22651,1988,1.06000000000000005e+00,26,1,2,1,0,0,1, 1,14,  0,1, 1,14,  0,1,1,14,  0,3,1,0,    0,1,14,  0,7,1,0,    0, 1,22,  0,0,3,4, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22652,1988,5.30000000000000027e-01,42,1,1,2,8,4,2, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,5,2,0,    0,2, 0,  0,5,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22653,1988,1.06000000000000005e+00,45,1,2,1,0,0,3, 1,15,  0,1, 1,18,  0,1,1,18,  0,0,1,0,    0,1,18,  0,5,1,0,    0, 2, 0,  0,2,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22654,1988,1.06000000000000005e+00,26,1,2,1,0,0,2, 1,22,  0,3, 1,22,  0,3,1,22,  0,7,3,0,    0,1,22,  0,7,3,0,    0, 1,22,  0,3,3,1,50,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22655,1988,1.06000000000000005e+00,73,1,1,1,1,4,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,7,2,0,    0, 2, 0,  0,7,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22656,1988,1.06000000000000005e+00,60,1,2,1,0,2,0, 2, 0,  0,2, 1,31,  0,2,1,31,  0,0,2,0,    0,2, 0,  0,0,2,0,    0, 2, 0,  0,7,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,200000,     0,     0,18,-1,76, 0
22657,1988,1.06000000000000005e+00,60,1,1,1,0,4,4, 1,32,  0,1, 1,32,  0,1,1,32,  0,7,1,0,    0,1,32,  0,7,1,0,    0, 1,32,  0,7,1,1,32,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22658,1988,1.06000000000000005e+00,61,1,2,1,0,2,4, 1,50,  0,3, 1,22,  0,3,2, 0,  0,2,2,0,    0,1,22,  0,5,3,0,    0, 1,50,  0,3,3,1,32,   0,   0,   0,   0,   0,   0,   0,   0,   0,150000,     0,     0,25,-1,40, 0
22659,1988,1.06000000000000005e+00,64,1,1,1,0,0,2, 1,14,  0,1, 4, 0,  0,3,4, 0,  0,0,3,0,    0,1,18,  0,3,1,0,    0, 1,14,  0,7,1,1,60,   0,   0,   0,   0,   0,   0,   0,   0,   0,999999,999999,999999,99,99,99,99
22660,1988,1.06000000000000005e+00,66,1,2,1,0,0,4, 2, 0,  0,2, 1,22,  0,3,1,22,  0,7,3,0,    0,1,22,  0,7,3,0,    0, 2, 0,  0,2,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,200000,     0,     0,25,-1,10, 0
22661,1988,1.06000000000000005e+00,69,1,2,1,0, ,1, 1,60, 51,2, 1,60, 51,2,2, 0,  0,5,2,0,    0,1,60, 51,7,2,0,    0, 1,60, 51,3,2,1,60,   0,   0,   0,   0,   0,   0,   0,   0,   0,200000,160051,     0,15,99,50,99
22662,1988,1.59000000000000008e+00,72,1,2,1,0,0,2, 1,22,  0,3, 1,22,  0,3,1,99,999,5,9,0,    0,1,22,  0,8,3,0,    0, 1,22,  0,7,3,1,22,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22663,1988,1.06000000000000005e+00,65,1,1,1,2,2,5, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,6,2,0,    0,2, 0,  0,7,2,0,    0, 2, 0,  0,7,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22664,1988,1.06000000000000005e+00,50,1,2,1,0,4,2, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,2,2,0,    0,2, 0,  0,2,2,0,    0, 2, 0,  0,2,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22665,1988,1.06000000000000005e+00,65,1,1,1,0,1,1, 1,31,  0,2, 1,11,  0,2,1,11,  0,4,2,0,    0,1,11,  0,4,2,0,    0, 1,31,  0,8,2,1,31,   0,   0,   0,   0,   0,   0,   0,   0,   0,999999,999999,999999,99,99,99,99
22666,1988,1.06000000000000005e+00,69,1,1,1,0,1,2, 1,22,  0,3, 1,22,  0,3,1,22,  0,3,3,0,    0,1,22,  0,3,3,0,    0, 1,22,  0,3,3,1,22,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22667,1988,1.06000000000000005e+00,58,1,2,1,0,0,4, 1,18,  0,1, 1,22,  0,3,2, 0,  0,0,2,0,    0,1,22,  0,0,3,0,    0, 1,18,  0,7,1,1,22,   0,   0,   0,   0,   0,   0,   0,   0,   0,160095,160040,118000,28,30,40,40
22668,1988,1.06000000000000005e+00,71,1,1,1,0,0,0, 1,22,  0,3, 1,22,  0,3,0, 0,  0, ,0,0,    0,1,22,  0,6,3,0,    0, 1,22,  0,6,3,1,60,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22669,1988,1.06000000000000005e+00,19,1,2,1,0,0,0, 1,18,  0,1, 1,18,  0,1,1,18,  0,0,1,0,    0,1,18,  0,2,1,0,    0, 1,18,  0,0,1,1,18,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22670,1988,1.59000000000000008e+00,24,1,1,1,0,0,3, 1,60, 12,1, 1,14,  0,1,0, 0,  0, ,0,0,    0,1,14,  0,8,1,0,    0, 1,38,  0,5,2,1,38,   0,   0,   0,   0,   0,   0,   0,   0,   0,160012,     0,     0,99,-1,99, 0
22671,1988,1.06000000000000005e+00,42,1,1,1,0,0,2, 1,14,  0,1, 1,14,  0,1,1,14,  0,8,1,0,    0,1,14,  0,8,1,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22672,1988,1.59000000000000008e+00,50,1,2,1,0,0,3, 1,14,  0,1, 1,48,  0,3,1,48,  0,1,3,0,    0,1,48,  0,7,3,0,    0, 1,14,  0,8,1,1,48,   0,   0,   0,   0,   0,   0,   0,   0,   0,148000,114000,     0,99,22,30,77
22673,1988,1.59000000000000008e+00,45,1,2,1,0,0,1, 1,28,  0,3, 1,28,  0,3,1,28,  0,1,3,0,    0,1,28,  0,3,3,0,    0, 1,38,  0,0,2,4, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22674,1988,5.30000000000000027e-01,69,1,2,1,0,0,2, 1,22,  0,3, 1,21,  0,2,1,22,  0,5,3,0,    0,1,22,  0,7,3,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,150000,     0,     0,25,-1,76, 0
22675,1988,1.06000000000000005e+00,45,1,1,1,0,1,3, 1,60, 35,1, 1,28,  0,3,1,28,  0,7,3,0,    0,1,28,  0,7,3,0,    0, 1,60, 35,8,1,1,60,   0,   0,   0,   0,   0,   0,   0,   0,   0,160035,     0,     0,25,-1,10, 0
22676,1988,1.06000000000000005e+00,45,1,2,1,0,0,4, 2, 0,  0,2, 2, 0,  0,2,1,14,  0,7,1,0,    0,2, 0,  0,5,2,0,    0, 2, 0,  0,7,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22677,1988,1.06000000000000005e+00,63,1,1,1,3,8,3, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,1,2,0,    0,2, 0,  0,7,2,0,    0, 2, 0,  0,0,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,114000,200000,     0,25,99,10,99
22678,1988,1.06000000000000005e+00,35,1,1,1,1, ,5, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0, 2, 0,  0,5,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22679,1988,1.06000000000000005e+00,41,1,1,1,0,0,4, 1,60, 64,1, 1,60, 64,1,1,60, 64,5,1,0,    0,1,60, 64,4,1,0,    0, 1,60, 64,7,1,1,22,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22680,1988,1.06000000000000005e+00,43,1,1,2,8,4,4, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0, 2, 0,  0,1,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
22681,1988,1.06000000000000005e+00,21,1,2,1,0,0,3, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,1,2,0,    0, 2, 0,  0,1,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,     0,     0,     0,-1,-1, 0, 0
