CASEID,YEAR,COMPWT,SEX,AGE,RACE,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID,SPREL,SPDEN,SPOTHER,SPATTEND,SPFUND,SPREL16,SPDEN16,ATTENDPA,ATTENDMA,EDUC,PAEDUC,MAEDUC,SEI,INCOME,RINCOME,PASEI,MASEI,INTRHOME,WWWHR
35323,1998,1.10000000000000009e+00,2,25,3, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0,98, 7, 9,97,97,-1.0, 8, 0,-1.0,-1.0,0, -1
35324,1998,1.10000000000000009e+00,1,27,1, 1,18,  0,1, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0, 3, 3,12, 0,97,25.8,12,12,26.5,-1.0,0, -1
35325,1998,1.10000000000000009e+00,2,50,1, 1,40,  0,2, 1,22,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,16,16,16,60.6,13,13,64.1,50.7,0, -1
35326,1998,5.50000000000000044e-01,2,81,1, 1,14,  0,1, 1,14,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,14,98,98,-1.0,13, 0,86.5,-1.0,0, -1
35327,1998,1.10000000000000009e+00,1,50,1, 1,41,  0,3, 1,22,  0,3,0, 0,  0, ,0,9,    0,0, 0,  0, ,0,9,    0, 0, 0,  0, ,0,0, 0, 4, 7,16,97,13,53.7,12,12,-1.0,-1.0,0, -1
35328,1998,1.64999999999999991e+00,2,19,1, 1,40,  0,2, 1,40,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,11,17,16,38.9,12,98,92.3,-1.0,0, -1
35329,1998,5.50000000000000044e-01,2,71,1, 1,60, 49,2, 1,60, 44,2,0, 0,  0, ,0,1,60044,0, 0,  0, ,0,1,60044, 0, 0,  0, ,0,0, 0, 2, 8,18, 8,14,78.5,12, 0,64.2,78.5,0, -1
35330,1998,1.10000000000000009e+00,2,56,1, 1,22,  0,3, 1,50,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,17,16,98,82.7,12,12,39.5,-1.0,0, -1
35331,1998,5.50000000000000044e-01,1,57,1, 1,60, 40,3, 1,60, 40,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0, 0, 0,16,10,98,87.9,13,13,34.3,32.4,0, -1
35332,1998,5.50000000000000044e-01,2,45,1, 1,60, 35,1, 1,60, 35,1,0, 0,  0, ,0,7,    0,0, 0,  0, ,0,1,28000, 0, 0,  0, ,0,0, 0, 1, 9,16,97,12,92.3,12,12,-1.0,63.5,0, -1
