CASEID,YEAR,COMPWT,SEX,AGE,RACE,BORN,PARBORN,GRANBORN,CHILDS,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID,SPREL,SPDEN,SPOTHER,SPATTEND,SPFUND,SPREL16,SPDEN16,KDYRBRN1,KDYRBRN2,KDYRBRN3,KDYRBRN4,KDYRBRN5,KDYRBRN6,KDYRBRN7,KDYRBRN8,KDYRBRN9,ATTENDPA,ATTENDMA,EDUC,PAEDUC,MAEDUC,SEI,PASEI,MASEI,INTRHOME
51701,2008,2.14000000000000012e+00,2,45,2,1,0,0,3, 1,18,  0,1, 1,18,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,18,  0, ,1,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,12,11,11,29.3,28.4,39.4,1
51702,2008,4.40000000000000002e-01,2,49,2,1,0,0,0, 1,60, 28,1, 1,28,  0,3,0, 0,  0, ,0,8,    0,0, 0,  0, ,0,1,28000, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,98,98,14,98,98,38.4,48.6,-1.0,2
51703,2008,2.14000000000000012e+00,2,37,2,1,0,0,7, 1,18,  0,1, 1,18,  0,1,0, 0,  0, ,0,8,    0,0, 0,  0, ,0,7,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,98, 2,11,97,14,21.2,-1.0,33.1,0
51704,2008,1.31000000000000005e+00,1,29,1,1,0,4,5, 4, 0,  0,3, 4, 0,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 2, 0,  0, ,2,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,12,12,12,29.3,29.0,26.7,1
51705,2008,1.31000000000000005e+00,2,26,1,1,8,4,0, 1,60, 58,1, 1,60, 58,1,0, 0,  0, ,0,1,60058,0, 0,  0, ,0,1,60058, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 9, 9,11,10,12,51.9,28.6,-1.0,0
51706,2008,8.80000000000000004e-01,2,29,1,2,8,4,2, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,1,60058,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 7, 5, 7, 3, 0,22.7,29.3,22.6,2
51707,2008,2.18999999999999995e+00,2,28,3,2,8,4,0, 4, 0,  0,3, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 5, 6,14, 8, 3,73.3,45.4,22.6,0
51708,2008,1.07000000000000006e+00,1,40,3,2,8,4,2, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 8, 8,16,16,12,83.7,76.4,38.9,1
51709,2008,2.14000000000000012e+00,1,45,3,1,8,4,3, 1,38,  0,2, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 1,38,  0, ,2,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 8, 8,14,16,16,51.9,-1.0,73.2,0
51710,2008,4.40000000000000002e-01,2,23,2,1,0,0,0, 1,14,  0,1, 1,14,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 0, 0,14,97,18,-1.0,-1.0,36.5,1
51711,2008,8.80000000000000004e-01,1,45,3,2,8,4,2, 4, 0,  0,3, 4, 0,  0,3,0, 0,  0, ,0,9,99999,0, 0,  0, ,0,9,99999, 4, 0,  0, ,3,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0,99,99,19,12,14,83.7,63.5,76.4,0
51712,2008,8.80000000000000004e-01,2,48,1,1,0,0,2, 1,22,  0,3, 1,22,  0,3,0, 0,  0, ,0,1,22000,0, 0,  0, ,0,2,    0, 1,50,  0, ,3,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 3, 8,16,98, 8,92.3,56.5,21.2,1
51713,2008,2.14000000000000012e+00,1,43,3,2,8,4,1, 7, 0,  0,9, 7, 0,  0,9,0, 0,  0, ,0,5,    0,0, 0,  0, ,0,6,    0, 7, 0,  0, ,9,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 4, 4,18,15,15,63.5,37.3,-1.0,0
51714,2008,2.14000000000000012e+00,1,23,1,1,0,0,0, 1,70,  0,2,11,70,  0,2,0, 0,  0, ,0,1,70000,0, 0,  0, ,0,1,70000, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 8, 8,16,18,18,62.0,63.5,76.5,0
51715,2008,8.80000000000000004e-01,1,34,3,1,8,4,0, 4, 0,  0,3, 2, 0,  0,2,0, 0,  0, ,0,2,    0,0, 0,  0, ,0,2,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 6, 6,12, 5, 0,76.3,62.1,21.2,1
51716,2008,2.14000000000000012e+00,1,43,1,1,1,2,0, 4, 0,  0,3, 1,32,  0,1,1, 0,  0, ,0,1,32000,1, 0,  0, ,0,1,32000, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 6, 6,19,20,16,76.4,80.9,81.9,0
