CASEID,YEAR,COMPWT,AGE,RACE,BORN,PARBORN,GRANBORN,CHILDS,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID,SPREL,SPDEN,SPOTHER,SPATTEND,SPFUND,SPREL16,SPDEN16,KDYRBRN1,KDYRBRN2,KDYRBRN3,KDYRBRN4,KDYRBRN5,KDYRBRN6,KDYRBRN7,KDYRBRN8,KDYRBRN9
28837,1993,1.06000000000000005e+00,39,3,2,8,4,0, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 2, 0,  0, ,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28838,1993,1.06000000000000005e+00,33,2,1,0,0,0, 1,11,  0,2, 1,11,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,11,  0, ,2,1,11,   0,   0,   0,   0,   0,   0,   0,   0,   0
28839,1993,1.06000000000000005e+00,56,1,1,0,0,3, 1,40,  0,2, 1,40,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,40,  0, ,2,1,99,   0,   0,   0,   0,   0,   0,   0,   0,   0
28840,1993,1.06000000000000005e+00,46,1,1,0,3,0, 3, 0,  0,3, 3, 0,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 3, 0,  0, ,3,3, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28841,1993,1.06000000000000005e+00,45,1,1,0,0,0, 5, 0,  0,9, 1,42,  0,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 5, 0,  0, ,9,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28842,1993,1.06000000000000005e+00,84,1,1,0, ,1, 1,22,  0,3, 1,22,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28843,1993,1.06000000000000005e+00,47,1,1,0,1,1, 1,30,  0,2, 1,30,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28844,1993,1.59000000000000008e+00,25,1,1,0,2,0, 1,22,  0,3, 1,22,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28845,1993,1.06000000000000005e+00,23,1,1,0, ,1, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 2, 0,  0, ,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28846,1993,1.06000000000000005e+00,69,1,1,0,1,4, 1,41,  0,3, 1,41,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28847,1993,1.59000000000000008e+00,45,1,1,0,4,3, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,31,  0, ,2,1,31,   0,   0,   0,   0,   0,   0,   0,   0,   0
28848,1993,5.30000000000000027e-01,72,1,1,2,4,3, 2, 0,  0,2, 1,30,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28849,1993,1.06000000000000005e+00,23,1,1,0,0,0, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28850,1993,5.30000000000000027e-01,57,1,1,0,4,4, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28851,1993,1.06000000000000005e+00,45,1,1,0,1,2, 1,70,  0,2, 1,41,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 4, 0,  0, ,3,1,60,   0,   0,   0,   0,   0,   0,   0,   0,   0
28852,1993,5.30000000000000027e-01,38,1,1,0,1,2, 1,43,  0,3, 1,31,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28853,1993,1.06000000000000005e+00,57,1,1,8,9,4, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 2, 0,  0, ,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28854,1993,1.59000000000000008e+00,30,1,1,0,0,0, 5, 0,  0,9, 1,70,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28855,1993,5.30000000000000027e-01,25,3,1,0, ,0, 5, 0,  0,9, 1,60, 65,1,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28856,1993,5.30000000000000027e-01,26,1,1,0,0,0, 4, 0,  0,3, 4, 0,  0,3,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28857,1993,5.30000000000000027e-01,42,1,1,0,0,0, 4, 0,  0,3, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28858,1993,5.30000000000000027e-01,35,1,1,0,0,0, 4, 0,  0,3, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28859,1993,1.06000000000000005e+00,30,1,1,0,2,1, 4, 0,  0,3, 1,38,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 4, 0,  0, ,3,4, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
28860,1993,1.06000000000000005e+00,37,1,1,0,0,2, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,0, 0,  0, ,0,0,    0, 1,38,  0, ,2,1,38,   0,   0,   0,   0,   0,   0,   0,   0,   0
